64, 16, 50, 10
32, 32, 64, 343
21, 32, 60, 321
48, 16, 48, 352
48, 32, 67, 358
21, 32, 60, 319
48, 32, 67, 358
21, 32, 58, 316
48, 32, 67, 358
21, 32, 60, 319
80, 16, 47, 29
64, 32, 67, 11
80, 32, 67, 23
48, 16, 47, 353
48, 32, 67, 359
48, 32, 67, 358
80, 32, 67, 22
80, 32, 67, 23
80, 32, 67, 22
64, 16, 49, 11
80, 32, 67, 23
21, 32, 60, 321
64, 32, 68, 10
80, 32, 67, 22
32, 32, 65, 344
48, 32, 67, 358
64, 32, 67, 10
80, 32, 67, 23
64, 16, 49, 10
48, 16, 46, 352
48, 16, 47, 353
48, 16, 47, 352
48, 16, 47, 353
48, 16, 48, 353
22, 32, 61, 324
32, 32, 65, 343
64, 16, 50, 11
64, 32, 67, 10
80, 32, 66, 22
64, 32, 68, 11
64, 32, 67, 10
64, 11, 32, 11
22, 32, 61, 325
80, 16, 46, 29
48, 32, 67, 358
80, 16, 46, 29
22, 32, 61, 324
80, 16, 48, 28
80, 16, 46, 30
80, 16, 46, 29
22, 32, 59, 320
48, 32, 67, 359
22, 32, 62, 326
64, 11, 36, 11
48, 32, 67, 358
48, 32, 67, 359
48, 16, 47, 353
80, 16, 47, 29
16, 48, 77, 328
16, 48, 77, 326
13, 48, 75, 315
16, 48, 76, 327
13, 48, 76, 316
16, 48, 77, 326
16, 48, 77, 327
13, 48, 76, 317
16, 48, 76, 326
13, 48, 76, 315
16, 48, 77, 327
13, 48, 75, 315
16, 48, 77, 326
13, 48, 75, 313
16, 48, 76, 327
14, 48, 76, 322
16, 48, 77, 326
14, 48, 75, 318
16, 48, 77, 327
14, 48, 76, 321
16, 48, 76, 325
14, 48, 76, 317
16, 48, 77, 327
14, 48, 76, 321
16, 48, 76, 326
14, 48, 76, 320
17, 48, 77, 329
14, 48, 76, 320
17, 48, 77, 328
14, 48, 75, 318
17, 48, 77, 329
14, 48, 76, 322
17, 48, 77, 329
14, 48, 76, 319
17, 48, 76, 328
14, 48, 76, 320
17, 48, 77, 328
14, 48, 76, 318
17, 48, 77, 329
14, 48, 76, 321
17, 48, 77, 328
14, 48, 76, 320
17, 48, 77, 329
15, 48, 76, 324
17, 48, 77, 328
15, 48, 77, 322
17, 48, 77, 329
15, 48, 76, 324
17, 48, 77, 329
15, 48, 76, 323
17, 48, 77, 329
15, 48, 77, 324
17, 48, 76, 328
15, 48, 76, 323
18, 48, 77, 330
15, 48, 76, 325
32, 48, 78, 347
32, 48, 79, 348
48, 48, 79, 360
32, 48, 78, 347
48, 48, 79, 0
32, 48, 78, 348
18, 48, 77, 331
15, 48, 76, 323
80, 48, 79, 21
112, 48, 76, 57
96, 48, 78, 34
112, 48, 76, 56
80, 16, 47, 28
112, 48, 77, 58
96, 48, 79, 33
112, 48, 76, 56
48, 32, 67, 358
64, 32, 67, 11
96, 48, 78, 34
80, 32, 67, 23
48, 16, 46, 352
64, 32, 68, 10
64, 11, 35, 11
64, 48, 79, 10
64, 11, 36, 10
32, 48, 79, 347
32, 32, 65, 343
64, 11, 34, 12
80, 48, 79, 21
64, 48, 79, 10
80, 48, 79, 21
18, 48, 77, 330
96, 32, 65, 37
22, 32, 61, 323
96, 48, 78, 33
96, 22, 49, 52
48, 16, 48, 353
112, 42, 69, 66
32, 32, 65, 343
48, 16, 47, 353
112, 42, 70, 66
96, 22, 48, 54
15, 48, 76, 324
32, 64, 90, 348
15, 48, 76, 322
80, 32, 67, 22
48, 32, 67, 359
32, 48, 78, 347
64, 48, 79, 10
31, 22, 48, 327
48, 32, 67, 358
64, 48, 79, 11
96, 32, 65, 38
31, 22, 50, 329
11, 64, 90, 318
15, 48, 77, 325
112, 48, 76, 57
32, 48, 78, 347
15, 48, 76, 323
112, 48, 77, 55
32, 80, 101, 347
32, 64, 90, 349
64, 32, 67, 11
48, 80, 99, 360
96, 64, 90, 33
11, 64, 89, 313
18, 48, 77, 331
18, 48, 77, 331
64, 64, 89, 10
64, 48, 79, 10
16, 80, 103, 327
64, 11, 37, 11
112, 42, 69, 66
15, 48, 76, 323
64, 11, 33, 10
